Image Name,Position,Label,Top-Left X,Top-Left Y,Bottom-Right X,Bottom-Right Y
img_1518.png,1,5,1000,592,1018,654
img_1518.png,2,5,972,580,984,636
img_1518.png,3,8,940,562,954,628
img_1518.png,4,6,912,554,920,616
img_1518.png,5,2,880,540,890,604
img_1518.png,6,1,840,524,860,590
img_1518.png,7,2,780,502,802,562
img_1518.png,8,0,752,492,764,548
img_1518.png,9,9,724,490,736,542
img_1518.png,10,5,692,472,708,530
img_1518.png,11,4,656,458,674,522
img_1243.png,1,5,968,750,922,792
img_1243.png,2,5,952,722,910,764
img_1243.png,3,8,952,686,902,730
img_1243.png,4,6,946,654,892,696
img_1243.png,5,1,940,630,884,666
img_1243.png,6,6,922,584,888,628
img_1243.png,7,3,918,524,872,566
img_1243.png,8,0,912,488,860,536
img_1243.png,9,7,906,464,854,498
img_1243.png,10,5,900,422,850,470
img_1243.png,11,4,886,392,842,432
img_1309.png,1,5,988,636,986,694
img_1309.png,2,5,952,614,960,676
img_1309.png,3,8,926,596,926,650
img_1309.png,4,6,898,572,898,632
img_1309.png,5,1,876,558,868,614
img_1309.png,6,7,834,536,846,598
img_1309.png,7,1,792,498,796,558
img_1309.png,8,0,762,474,760,538
img_1309.png,9,9,732,460,730,522
img_1309.png,10,C,708,436,698,504
img_1309.png,11,X,670,416,672,488
img_1254.png,1,5,676,738,720,786
img_1254.png,2,5,706,732,753,782
img_1254.png,3,8,740,724,788,778
img_1254.png,4,6,774,714,820,770
img_1254.png,5,1,810,710,844,766
img_1254.png,6,6,838,704,892,756
img_1254.png,7,4,900,684,942,732
img_1254.png,8,0,932,682,978,728
img_1254.png,9,9,968,668,1010,720
img_1254.png,10,3,1000,660,1044,712
img_1254.png,11,C,1032,648,1082,708
img_1485.png,1,5,984,678,969,736
img_1485.png,2,5,966,652,944,712
img_1485.png,3,8,946,624,926,686
img_1485.png,4,6,936,600,902,662
img_1485.png,5,2,902,566,886,642
img_1485.png,6,1,876,548,854,606
img_1485.png,7,5,838,494,818,554
img_1485.png,8,0,818,470,796,528
img_1485.png,9,3,804,440,776,504
